Lastname,Name,Team,Position,Games Played,Goals,Missed,Field Goals,Penalty Goals,Shooting Accuracy,Assists,Technical Faults,Steals,Blocks,Yellow Cards,2 Min Exclusion,Red Cards,Blue Cards,Season,Tier
Savvas,Savvas,HIL,LB,36,289,195,210,79,0.5971,52,40,7,7,20,16,1,0,17/18,B
Gunnarsson,Arnor Thor,BHC,RW,38,275,93,163,112,0.7473000000000001,14,17,11,0,2,3,0,0,17/18,B
Smits,Kay,WHV,RB,37,258,141,178,80,0.6466,90,74,20,4,5,10,0,0,17/18,B
Kaletsch,Paul,KON,LB,35,251,194,142,109,0.564,74,62,4,6,13,12,0,0,17/18,B
Billek,Florian,COB,RW,37,243,98,132,111,0.7126,24,29,20,0,4,2,0,0,17/18,B
Holzner,Dirk,TVE,LW,38,217,89,130,87,0.7092,12,12,8,0,4,6,0,0,17/18,B
Krings,Merten,TVE,CB,38,207,171,204,3,0.5476,99,77,6,7,21,24,3,0,17/18,B
Schafer,Christian,SGB,RW,38,206,51,88,118,0.8016,11,4,8,1,4,3,0,0,17/18,B
Adams,Jasper,TVE,LB,38,204,186,203,1,0.5231,94,54,9,16,18,19,0,0,17/18,B
Schwolow,Tobias,WHV,CB,36,199,160,189,10,0.5543,120,62,6,0,5,5,0,0,17/18,B
Saul,Alexander,EIS,RB,36,197,155,156,41,0.5597,55,38,6,3,5,6,1,0,17/18,B
Sohmann,Vincent,DES,CB,38,196,72,119,77,0.7313,72,61,14,0,3,9,0,0,17/18,B
Skroblien,Tom,TUE,LW,36,179,69,109,70,0.7218000000000001,7,9,14,2,4,7,0,0,17/18,B
Gerlich,Matthias,EIS,LB,33,174,154,115,59,0.5305,60,26,6,3,5,14,1,0,17/18,B
Weissgerber,Lars,HGS,RW,38,174,95,100,74,0.6468,2,13,8,0,4,5,0,0,17/18,B
Thomann,Gregor,HBW,RW,38,173,64,138,35,0.73,7,6,8,1,1,3,0,0,17/18,B
Schmidt,Patrick,WÖW,CB,38,172,158,113,59,0.5212,52,37,7,1,11,6,1,0,17/18,B
Dierberg,Julius,ELB,LW,38,169,49,106,63,0.7752,5,15,9,0,2,3,0,0,17/18,B
Szczesny,Dennis,TUE,LB,38,167,121,167,0,0.5799,40,43,7,29,18,29,4,0,17/18,B
Oelze,Alexander,VIK,CB,27,166,139,130,36,0.5443,31,37,4,0,1,4,0,0,17/18,B
Vorontsov,Evgeny,WHV,RW,37,162,81,149,13,0.6667000000000001,16,23,6,9,25,24,1,0,17/18,B
Barbarskas,Gerdas,SGB,LB,33,159,113,159,0,0.5846,62,25,22,7,12,15,0,0,17/18,B
Muller,Jerome,HGS,RB,38,158,121,158,0,0.5663,68,52,12,2,17,16,1,0,17/18,B
John,Robin,HIL,CB,34,155,132,110,45,0.5401,93,49,3,11,5,3,0,0,17/18,B
Varvne,Tobias,COB,LB,34,154,82,154,0,0.6525,44,41,4,2,2,3,0,0,17/18,B
Mestrum,Daniel,HAG,LW,37,149,96,126,23,0.6082,9,24,7,1,9,6,0,0,17/18,B
Pechstein,Marc,AUE,LB,34,148,159,98,50,0.48210000000000003,73,61,9,24,18,17,0,0,17/18,B
Kress,Soren,HAG,CB,38,146,119,110,36,0.5509000000000001,49,45,7,1,2,4,0,0,17/18,B
Neuhold,Christoph,ASV,CB,38,144,145,144,0,0.49829999999999997,76,39,5,3,8,6,0,0,17/18,B
Ellwanger,Jonas,TUE,CB,38,141,113,141,0,0.5550999999999999,67,43,13,12,13,19,1,0,17/18,B
Papadopoulos,Vyron,ASV,LW,30,140,59,67,73,0.7034999999999999,10,18,12,1,0,6,0,0,17/18,B
