Cognome,Nome,Squadra,Posizione,Partite Giocate,Tiri Totali,Gol Totali,Tiri Sbagliati,Gol Azione,Gol Rigore,Percentuale Realizzazione,Assist,Falli Tecnici,Intercetti,Blocchi,Cartellino Giallo,2 Minuti,Cartellino Rosso,Cartellino Blu,Stagione,Categoria
Savvas,Savvas,HIL,Terzino Sinistro,36,484,289,195,210,79,0.5971,52,40,7,7,20,16,1,0,17/18,B
Gunnarsson,Arnor Thor,BHC,Ala Destra,38,368,275,93,163,112,0.7473000000000001,14,17,11,0,2,3,0,0,17/18,B
Smits,Kay,WHV,Terzino Destro,37,399,258,141,178,80,0.6466,90,74,20,4,5,10,0,0,17/18,B
Kaletsch,Paul,KON,Terzino Sinistro,35,445,251,194,142,109,0.564,74,62,4,6,13,12,0,0,17/18,B
Billek,Florian,COB,Ala Destra,37,341,243,98,132,111,0.7126,24,29,20,0,4,2,0,0,17/18,B
Holzner,Dirk,TVE,Ala Sinistra,38,306,217,89,130,87,0.7092,12,12,8,0,4,6,0,0,17/18,B
Krings,Merten,TVE,Centrale,38,378,207,171,204,3,0.5476,99,77,6,7,21,24,3,0,17/18,B
Schafer,Christian,SGB,Ala Destra,38,257,206,51,88,118,0.8016,11,4,8,1,4,3,0,0,17/18,B
Adams,Jasper,TVE,Terzino Sinistro,38,390,204,186,203,1,0.5231,94,54,9,16,18,19,0,0,17/18,B
Schwolow,Tobias,WHV,Centrale,36,359,199,160,189,10,0.5543,120,62,6,0,5,5,0,0,17/18,B
Saul,Alexander,EIS,Terzino Destro,36,352,197,155,156,41,0.5597,55,38,6,3,5,6,1,0,17/18,B
Sohmann,Vincent,DES,Centrale,38,268,196,72,119,77,0.7313,72,61,14,0,3,9,0,0,17/18,B
Skroblien,Tom,TUE,Ala Sinistra,36,248,179,69,109,70,0.7218000000000001,7,9,14,2,4,7,0,0,17/18,B
Gerlich,Matthias,EIS,Terzino Sinistro,33,328,174,154,115,59,0.5305,60,26,6,3,5,14,1,0,17/18,B
Weissgerber,Lars,HGS,Ala Destra,38,269,174,95,100,74,0.6468,2,13,8,0,4,5,0,0,17/18,B
Thomann,Gregor,HBW,Ala Destra,38,237,173,64,138,35,0.73,7,6,8,1,1,3,0,0,17/18,B
Schmidt,Patrick,WÖW,Centrale,38,330,172,158,113,59,0.5212,52,37,7,1,11,6,1,0,17/18,B
Dierberg,Julius,ELB,Ala Sinistra,38,218,169,49,106,63,0.7752,5,15,9,0,2,3,0,0,17/18,B
Szczesny,Dennis,TUE,Terzino Sinistro,38,288,167,121,167,0,0.5799,40,43,7,29,18,29,4,0,17/18,B
Oelze,Alexander,VIK,Centrale,27,305,166,139,130,36,0.5443,31,37,4,0,1,4,0,0,17/18,B
Vorontsov,Evgeny,WHV,Ala Destra,37,243,162,81,149,13,0.6667000000000001,16,23,6,9,25,24,1,0,17/18,B
Barbarskas,Gerdas,SGB,Terzino Sinistro,33,272,159,113,159,0,0.5846,62,25,22,7,12,15,0,0,17/18,B
Muller,Jerome,HGS,Terzino Destro,38,279,158,121,158,0,0.5663,68,52,12,2,17,16,1,0,17/18,B
John,Robin,HIL,Centrale,34,287,155,132,110,45,0.5401,93,49,3,11,5,3,0,0,17/18,B
Varvne,Tobias,COB,Terzino Sinistro,34,236,154,82,154,0,0.6525,44,41,4,2,2,3,0,0,17/18,B
Mestrum,Daniel,HAG,Ala Sinistra,37,245,149,96,126,23,0.6082,9,24,7,1,9,6,0,0,17/18,B
Pechstein,Marc,AUE,Terzino Sinistro,34,307,148,159,98,50,0.4821,73,61,9,24,18,17,0,0,17/18,B
Kress,Soren,HAG,Centrale,38,265,146,119,110,36,0.5509000000000001,49,45,7,1,2,4,0,0,17/18,B
Neuhold,Christoph,ASV,Centrale,38,289,144,145,144,0,0.4982999999999999,76,39,5,3,8,6,0,0,17/18,B
Ellwanger,Jonas,TUE,Centrale,38,254,141,113,141,0,0.5550999999999999,67,43,13,12,13,19,1,0,17/18,B
Papadopoulos,Vyron,ASV,Ala Sinistra,30,199,140,59,67,73,0.7034999999999999,10,18,12,1,0,6,0,0,17/18,B
Kaufmann,Steffen,WÖW,Terzino Destro,38,299,138,161,138,0,0.4614999999999999,104,46,2,1,1,1,0,0,17/18,B
Tzoufras,Nikolaos,HIL,Pivot,36,179,135,44,135,0,0.7542,4,23,3,6,9,10,1,0,17/18,B
Von Boenigk,Jan,HAG,Terzino Destro,36,234,134,100,133,1,0.5726,51,36,7,5,13,8,0,0,17/18,B
Arnesson,Linus,BHC,Centrale,38,212,134,78,134,0,0.6321,102,37,23,16,10,5,0,0,17/18,B
Wasielewski,Johannes,DES,Terzino Destro,37,283,134,149,134,0,0.4735,53,66,2,7,18,17,0,0,17/18,B
Gretarsson,Oddur,HBW,Ala Sinistra,38,190,132,58,62,70,0.6947,15,12,5,2,4,8,1,0,17/18,B
Mickal,Pavel,NOL,Ala Sinistra,31,179,132,47,76,56,0.7373999999999999,5,13,4,2,1,6,1,0,17/18,B
Franke,Marten,TVE,Ala Destra,36,239,129,110,129,0,0.5397,20,20,3,1,5,9,1,0,17/18,B
Rentschler,Patrick,SGB,Pivot,37,160,126,34,126,0,0.7875,11,19,6,18,15,22,0,0,17/18,B
Berchtenbreiter,Chris,KON,Pivot,37,157,126,31,126,0,0.8025,5,27,7,8,22,22,1,0,17/18,B
Seidel,Lasse,NOL,Ala Sinistra,31,176,121,55,65,56,0.6875,6,7,20,2,2,1,0,0,17/18,B
Wohler,Adrian,EIS,Ala Sinistra,37,165,121,44,121,0,0.7333,7,15,11,1,3,13,0,0,17/18,B
Konitz,Bartosz,HAG,Centrale,35,245,119,126,117,2,0.4857,98,45,1,9,8,5,0,0,17/18,B
Zintel,Bjorn,ASV,Centrale,38,223,119,104,102,17,0.5336,58,31,5,3,3,11,1,0,17/18,B
Miedema,Patrick,NOL,Centrale,36,230,119,111,119,0,0.5174,61,34,14,10,12,13,0,0,17/18,B
Lex,Stefan,COB,Terzino Destro,36,226,118,108,118,0,0.5221,63,71,11,3,5,3,1,0,17/18,B
Schoch,Jona,HBW,Terzino Sinistro,37,197,117,80,117,0,0.5939,49,33,10,21,13,30,2,0,17/18,B
Roch,Kevin,AUE,Ala Sinistra,38,171,114,57,114,0,0.6667000000000001,16,18,18,21,21,41,4,0,17/18,B
Strobel,Martin,HBW,Centrale,37,181,112,69,112,0,0.6188,75,41,7,11,11,11,0,0,17/18,B
Riedel,Mathias,KON,Terzino Sinistro,34,212,112,100,112,0,0.5283,40,48,3,15,12,13,0,0,17/18,B
Gutbrod,Fabian,BHC,Terzino Sinistro,33,200,111,89,111,0,0.555,24,14,1,2,6,5,0,0,17/18,B
Hosse,Christian,VIK,Ala Sinistra,28,183,111,72,66,45,0.6065999999999999,22,34,9,0,6,7,0,0,17/18,B
Lindskog Andersson,Julius,HGS,Centrale,36,191,111,80,93,18,0.5811999999999999,65,42,5,0,5,4,0,0,17/18,B
Blohme,Lukas,ASV,Ala Destra,38,172,108,64,104,4,0.6279,14,10,13,1,6,7,0,0,17/18,B
Dumcius,Mindaugas,AUE,Terzino Destro,37,193,108,85,106,2,0.5596,63,37,5,8,15,12,0,0,17/18,B
Postel,Duncan,WHV,Pivot,38,149,107,42,107,0,0.7181000000000001,19,27,8,9,14,23,2,0,17/18,B
Beyer,Noah,TUE,Ala Sinistra,25,138,105,33,62,43,0.7609,3,9,5,0,2,4,0,0,17/18,B
Herth,Benjamin,WÖW,Centrale,36,204,104,100,68,36,0.5097999999999999,24,25,1,0,0,5,0,0,17/18,B
Brosch,Jan,ASV,Pivot,37,144,104,40,104,0,0.7222,13,35,1,30,21,21,1,0,17/18,B
Spross,Felix,COB,Ala Sinistra,35,151,103,48,103,0,0.6820999999999999,3,6,12,2,5,7,1,0,17/18,B
Pavlicek,Tomas,DES,Ala Destra,35,155,103,52,63,40,0.6645,5,12,3,0,7,4,0,0,17/18,B
Meinhardt,Eric,AUE,Centrale,27,150,103,47,64,39,0.6867,51,33,10,0,3,6,0,0,17/18,B
Brielmeier,Benedikt,WÖW,Terzino Sinistro,34,187,101,86,101,0,0.5401,49,24,7,6,4,12,0,0,17/18,B
Jurgeleit,Tim-Philip,ELB,Ala Sinistra,34,133,101,32,33,68,0.7594,2,4,2,0,1,0,0,0,17/18,B
Tubic,Dragan,HAG,Terzino Destro,34,169,99,70,88,11,0.5858,15,21,4,6,12,12,0,0,17/18,B
Jungemann,Philip,AUE,Pivot,37,131,99,32,99,0,0.7556999999999999,8,21,8,27,16,22,2,0,17/18,B
Heiny,Lutz,NOL,Terzino Sinistro,38,242,99,143,99,0,0.4090999999999999,36,23,9,7,6,18,1,0,17/18,B
Wiese,Jens,NOL,Terzino Sinistro,30,222,98,124,98,0,0.4414,8,11,8,11,7,7,0,0,17/18,B
Vorlicek,Philipp,NOL,Terzino Destro,37,161,98,63,98,0,0.6087,30,26,13,5,20,17,0,0,17/18,B
Marcec,Martin,SGB,Ala Sinistra,34,134,97,37,96,1,0.7239,12,12,19,1,7,7,0,0,17/18,B
Schult,Jan,VFL,Terzino Sinistro,32,204,96,108,96,0,0.4706,33,31,8,23,15,10,0,0,17/18,B
Verjans,Nicky,NOL,Ala Destra,33,168,95,73,75,20,0.5655,34,16,3,2,6,3,0,0,17/18,B
Faith,Jan,AUE,Ala Destra,38,161,95,66,95,0,0.5901,9,8,8,0,9,8,1,0,17/18,B
Metzner,Antonio,VFL,Terzino Destro,30,178,95,83,95,0,0.5337,17,16,8,5,11,6,0,0,17/18,B
Milde,Oliver,VFL,Terzino Sinistro,19,166,94,72,94,0,0.5663,14,14,1,0,0,1,0,0,17/18,B
Weyhrauch,Willy,EIS,Ala Destra,35,136,94,42,94,0,0.6912,16,13,19,0,8,15,0,0,17/18,B
